								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Français
	35	%system with contrast	0	0	0	0		
	36	%system with VN	0	0	0	0		
	37	%system with VL	0	0	0	0		
	50	% of systems with stop	0	0	0	0		
	51	% of systems with implosive	0	0	0	0		
	52	% of systems with nasal	0	0	0	0		
	53	% of systems with trill	0	0	0	0		
	54	% of systems with tap	0	0	0	0		
	55	% of systems with flap	0	0	0	0		
	56	% of systems with r-sound	0	0	0	0		
	57	% of systems with fricative	0	0	0	0		
	58	% of systems with sibilant	0	0	0	0		
	59	% of systems with affricate	0	0	0	0		
	60	% of systems with affricate-trill	0	0	0	0		
	61	% of systems with affricate-lateral	0	0	0	0		
	62	% of systems with lateral-fricative	0	0	0	0		
	63	% of systems with lateral	0	0	0	0		
	64	% of systems with lateral-approximant	0	0	0	0		
	65	% of systems with approximant	0	0	0	0		
	66	% of systems with click	0	0	0	0		
