BdprotoID	LanguageCode	GlottologID	LanguageName	SpecificDialect	FileName	SyllableStructure	SyllableStructureNotes	PhonologyNotes	TimeDepth	Region
16	akk	akka1240	Akkadian		buccellatti1997phon.pdf; huehnergard1997phon.pdf	VC; CV; CVC	vowels are not allowed word-initially; it is unclear if they are allowed syllable-initially, it might be that there is always a glide or glottal stop in front of them		2800-700 BC	mesopotamia
17	hit	hitt1242	Hittite		hoffner-melchert2008phon.pdf	VC; CV; CVC; VCC; CCV	maybe even VCCC		1600-1300 BC	Anatolia
18	xna	anci1245	Ancient North Arabian		goldammer2012phon_arabic.pdf; MacDonald2008phon.pdf	CV; CVC; CVC			1200 bc-700 AD	southern syria to yemen
19	arc	aram1259	Aramaic		goldammer2012phon_arc.pdf	CV; CVC				
20	elx	elam1244	Elamite		goldammer2012phon_elx.pdf; Khaikjan1998phon.pdf	CV; CVC; CVCC			2800-500 BC	Elam (ancient lands in the west and southwest of todays Iran)
21	ave	aves1237	Avestan	Gathaic Avestan/Old Avestan	skaervo2006phon.pdf	CCVC; CCCV	also smaller ones	The phonemic inventory is not clear at all. This list follows P. O. SKJÆRVØ.	uncertain, written from the 3rd century, but the language was extinct by then. Maybe with the start of the Zoroastrism around 600bc or same time as early Vedic around 1500 BCE	unknown
22	xcl	clas1249	Classical Armenian		clackson2008phon.pdf	VC; CV; CVC; CVCC			400 AD	Armenian Highlands
23	NA	NA	Middle Egyptian		allen2000phon.pdf	CV; CVC; CVCC			2000-1350 BC	Ancient Egypt
24	xht	hatt1246	Hattic		kammenhuber1969phon.pdf; klinger2005phon.pdf	NA		same problems as in Hittite with the ponetic realisations	3000-2000 BC	zentral Anatolia northwards to the black sea
25	xhu	hurr1240	Hurrian		wegner2000phon.pdf; wilhelm2008phon_xhu.pdf	CV; VC; CVC; CVCC			2300-1000 BC	northern Mesopotamia
26	NA	kass1244	Kassite		goldammer21012phon_kass1244.pdf	CCVC	maximal structure		1800-400 BC	southern Mesopotamia
27	plq	pala1331	Palaic		melchert2008phon.pdf; carruba1970phon.pdf	V; CV; VC; CVC; VCC; CVCC; CVCCC	complex onset is unclear; CVCCC only in the ending -nts	There is variation in the spelling of gemminates, which may or may not indicate phonemically distinct consonants.	1600-1300 BC	central north Anatolia
28	peo	oldp1255	Old Persian		skjaervo2009phon.pdf	V; VC; CV; CVC; CCV; CCVC; CCCVC			600-300 BC	Inscriptions found in modern Iran, Armenia, Bahrain, Romania (Gherla), Egypt, Turky, Iraq.
29	xpg	phry1239	Phrygian	Paleo-Phrygian	brixhe2008phon.pdf	CV; CVC; VCC; CCV; CCVC	coda clusters are very rare		800 BC-300 AD; texts found from 800-500 (Paleo-Phrygian) BC and 100 AD - 300 (Neo-Phrygian)	central Asia Minor
30	xpg	phry1239	Phrygian	Neo-Phrygian	brixhe2008phon.pdf	NA				
31	NA	sayh1236	Old South Arabic		nebesstein2008phon.pdf	CV; CVC		Consonantal length is not expressed in the script.		
32	sux	sume1241	Sumerian		edzard2003phon.pdf; michalowski2008phon.pdf	NA			3300-2000 BC	
33	uga	ugar1238	Ugaritic		tropper2000phon.pdf	CV; CVC				
34	xur	urar1245	Urartian		wilhelm2008phon_xur.pdf; hazenbos2005phon.pdf	NA				
35	xlu	cune1239	Luwian	Cunieform Luwian	melchert 2008phon.pdf	NA		Melchert suggest, that all dialects share the same phonemic inventory	1400-1200	Asia Minor
36	phn	phoe1239	Phoenician		hackett2008phon.pdf	NA			1200-600 BC	
