BdprotoID	LanguageName	GlottologID	BibtexKey	LanguageFamilyRoot	Family	Classification	TimeDepthInventorySource	TimeDepthDateSource	TimeDepth	Homeland Data	FileName	MetadataNotes	InventorySource	DateSource	HomelandSource
1	Proto-Berber	berb1260	wiki_kossmann2001a	afas	Afro-Asiatic	Afro-Asiatic, Berber			-7000		LG1081.txt	no squib	basset1952	louali2003protoberberes	
2	Proto-Kartvelian	kart1248	wiki_gamkrelidze1966	cauc	Caucasian	Caucasian		-5000	-5000		LG1052.txt	p.804 fn 28	bomhard1990	gamkrelidze1995indo	
3	Proto-Balto-Slavic	balt1263	kortlandt1979_phon					between 1500 and 1000 B.C.	-3000				kortlandt1979_phon	novotna2011glottochronology	
4	Proto-Slavic	slav1255	schenker1993proto					around 500 AD split of daughter languages	-1500	Eastern Poland and Wester Ukraine			schenker1993proto	andersen2003language	andersen2003language
5	Proto-Celtic	celt1248	schrijver1995studies						-3000				schrijver1995studies	gosden2014celtic	
6	Proto-Tai	daic1237	pittayaporn2009proto					between one and three thousand years ago	-1000				pittayaporn2009proto	enfield2013linguistic	
7	Proto-Turkic	turk1305	ronatas1998reconstruction						-2200				ronatas1998reconstruction	hruschka2015detecting	
8	Proto-Mongolic	mong1329	jahunen2003					less than 1000 years	-1000				jahunen2003	brown2010concise	
9	Proto-Kra	kra1291	ostapirat2000proto-kra						NA				ostapirat2000proto-kra		
10	Proto-Hlai	nucl1241	norquest2007phonological						NA				norquest2007phonological		
11	Proto-Tibeto-Burman	NA	matisoff2003handbook						-6000	somewhere on the Himalayan plateau, where the great rivers of East and Southeast Asia (including the Yellow, Yangtze, Mekong, Brahmaputra, Salween, and Irrawaddy) have their source			matisoff2003handbook	stedt2015sinotibetan	stedt2015sinotibetan
12	Proto-Austroasiatic	aust1305	shorto2006mon					2000BCE	-4000				shorto2006mon	sidwell-family	
13	Proto-Iroquoian	iroq1247	julian2010history					3,500 to 3,800 for the split of South and North Iroquoian	-5500				julian2010history	lounsbury1961iroquois	
14	Proto-Dené–Caucasian	NULL	bengtson2008materials						NA				bengtson2008materials		
15	Indo-European	indo1319	Fortson2011-indo-european	ieur	Indo-European	Indo-European							Fortson2004-indo-european.pdf		
